"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","economic","economic__special_variable","mdfami60t74","MdFamInc","1248","194","9.5","0.016","0.002","true","161984","0","","0","0","false","-160736","194","true","1.6","0.2","true"
"","economic","economic__special_variable","mdfami75t99","MdFamInc","2211","254","7","0.029","0.002","true","214732","0","","0","0","false","-212521","254","true","2.9000000000000004","0.2","true"
"","economic","economic__special_variable","mdfamiu10","MdFamInc","454","117","15.7","0.006","0.001","true","112405","0","","0","0","false","-111951","117","true","0.6","0.1","true"
"","economic","economic__special_variable","mdfi100t124","MdFamInc","1701","213","7.6","0.022","0.002","true","164569","0","","0","0","false","-162868","213","true","2.1999999999999997","0.2","true"
"","economic","economic__special_variable","mdfi125t149","MdFamInc","1140","182","9.7","0.015","0.002","true","120186","0","","0","0","false","-119046","182","true","1.5","0.2","true"
"","economic","economic__special_variable","mdfi150t199","MdFamInc","1136","181","9.7","0.015","0.002","true","148457","0","","0","0","false","-147321","181","true","1.5","0.2","true"
"","economic","economic__special_variable","mdhh","MdHHInc","16846","310","1.1","0.235","0.02","true","3154103","5930","0.1","0","0","true","-3137257","5938.097338373631","true","23.5","2","true"
"","economic","economic__special_variable","mdhhi10t14","MdHHInc","446","115","15.6","0.006","0.002","true","196924","0","","0","0","false","-196478","115","true","0.6","0.2","false"
"","economic","economic__special_variable","mdhhi15t19","MdHHInc","697","151","13.2","0.01","0.002","true","153690","0","","0","0","false","-152993","151","true","1","0.2","true"
"","economic","economic__special_variable","mdhhi200pl","MdHHInc","866","149","10.5","0.012","0.002","true","320979","0","","0","0","false","-320113","149","true","1.2","0.2","true"
"","economic","economic__special_variable","mdhhi20t24","MdHHInc","682","135","12","0.01","0.002","true","144081","0","","0","0","false","-143399","135","true","1","0.2","true"
"","economic","economic__special_variable","mdhhi25t29","MdHHInc","692","153","13.4","0.01","0.002","true","130669","0","","0","0","false","-129977","153","true","1","0.2","true"
"","economic","economic__special_variable","mdhhi30t34","MdHHInc","683","133","11.8","0.01","0.002","true","127929","0","","0","0","false","-127246","133","true","1","0.2","true"
"","economic","economic__special_variable","mdhhi35t39","MdHHInc","572","131","13.9","0.008","0.002","true","117013","0","","0","0","false","-116441","131","true","0.8","0.2","true"
"","economic","economic__special_variable","mdhhi40t44","MdHHInc","876","163","11.3","0.012","0.002","true","118136","0","","0","0","false","-117260","163","true","1.2","0.2","true"
"","economic","economic__special_variable","mdhhi45t49","MdHHInc","553","127","13.9","0.008","0.002","true","97109","0","","0","0","false","-96556","127","true","0.8","0.2","true"
"","economic","economic__special_variable","mdhhi50t59","MdHHInc","1277","202","9.6","0.018","0.002","true","200625","0","","0","0","false","-199348","202","true","1.7999999999999998","0.2","true"
"","economic","economic__special_variable","mdhhi60t74","MdHHInc","1492","208","8.5","0.021","0.002","true","261749","0","","0","0","false","-260257","208","true","2.1","0.2","true"
"","economic","economic__special_variable","mdhhi75t99","MdHHInc","2660","285","6.5","0.037","0.003","true","345558","0","","0","0","false","-342898","285","true","3.6999999999999997","0.3","true"
"","economic","economic__special_variable","mdhhiu10","MdHHInc","793","150","11.5","0.011","0.002","true","277465","0","","0","0","false","-276672","150","true","1.0999999999999999","0.2","true"
"","economic","economic__special_variable","mdhi100t124","MdHHInc","1917","225","7.1","0.027","0.002","true","257611","0","","0","0","false","-255694","225","true","2.7","0.2","true"
"","economic","economic__special_variable","mdhi125t149","MdHHInc","1326","193","8.8","0.019","0.002","true","182551","0","","0","0","false","-181225","193","true","1.9","0.2","true"
"","economic","economic__special_variable","mdhi150t199","MdHHInc","1314","194","9","0.018","0.002","true","222014","0","","0","0","false","-220700","194","true","1.7999999999999998","0.2","true"
"","economic","economic__special_variable","mf10t12p5","MdEMFTWrk","204","86","25.7","0.005","0.002","false","22057","0","","0","0","false","-21853","86","true","0.5","0.2","false"
"","economic","economic__special_variable","mf12p5t15","MdEMFTWrk","172","97","34.4","0.004","0.002","false","25036","0","","0","0","false","-24864","97","true","0.4","0.2","false"
"","economic","economic__special_variable","mf15t17p5","MdEMFTWrk","542","169","19","0.012","0.004","true","41647","0","","0","0","false","-41105","169","true","1.2","0.4","false"
