"numGeoids","profile","category","variable","estimate","percent","comparison_estimate","comparison_percent","difference_estimate","difference_percent"
"","decennial","relationship_to_head_of_household__householder_","institlzd","0","0","70041","0.00856756703530083","-70041","-0.8567567035300829"
"","decennial","relationship_to_head_of_household__householder_","nfhhldr","3863","0.0681617673007023","1259563","0.154072478086901","-1255700","-8.59107107861987"
"","decennial","relationship_to_head_of_household__householder_","nfnonrel","1330","0.0234675512580725","352738","0.04314767723045","-351408","-1.9680125972377507"
"","decennial","relationship_to_head_of_household__householder_","nfunmptnr","375","0.00661679076825352","114403","0.0139940230941809","-114028","-0.7377232325927381"
"","decennial","relationship_to_head_of_household__householder_","nonfamhh","5193","0.0916293185587747","1612301","0.197220155317351","-1607108","-10.55908367585763"
"","decennial","relationship_to_head_of_household__householder_","nonrel","2575","0.0454352966086742","234003","0.0286237545003855","-231428","1.6811542108288697"
"","decennial","relationship_to_head_of_household__householder_","nonrelu18","266","0.019173934981619","24617","0.0139227684234757","-24351","0.5251166558143301"
"","decennial","relationship_to_head_of_household__householder_","nrelumptnr","836","0.0147510322193598","86629","0.0105966471738136","-85793","0.41543850455462006"
"","decennial","relationship_to_head_of_household__householder_","ocinfhhu18","2920","0.210480790023787","467053","0.264153664560653","-464133","-5.367287453686597"
"","decennial","relationship_to_head_of_household__householder_","ocinmcfu18","7577","0.546168817126793","927417","0.524524195596317","-919840","2.1644621530476016"
"","decennial","relationship_to_head_of_household__householder_","ocinofu18","3813","0.274850428890651","559529","0.316455810749438","-555716","-4.160538185878703"
"","decennial","relationship_to_head_of_household__householder_","orelu18","2213","0.159518489151589","242541","0.137175211284812","-240328","2.2343277866776994"
"","decennial","relationship_to_head_of_household__householder_","othrrel","16131","0.284627871687193","1708262","0.208958312971789","-1692131","7.566955871540401"
"","decennial","relationship_to_head_of_household__householder_","ownchu18","11390","0.821019246017444","1486946","0.840980006345755","-1475556","-1.9960760328310982"
"","decennial","relationship_to_head_of_household__householder_","owncu18","11390","0.200973991601087","1486946","0.181886459828849","-1475556","1.908753177223801"
"","decennial","relationship_to_head_of_household__householder_","pop4","56674","1","8175133","1","-8118459","0"
"","decennial","relationship_to_head_of_household__householder_","pop65pl_2","5121","1","993158","1","-988037","0"
"","decennial","relationship_to_head_of_household__householder_","popinfam","48844","0","6143299","0","-6094455","0"
