"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","demographic__special_variable","mdpop_3","MdAge","60572","1694","1.7","0","0","true","8443713","0","","0","0","false","-8383141","1694","true","0","0",""
"","demographic","hispanic_subgroup","hsp2","Hsp2","33466","1701","3.1","1","0","true","2457137","0","0","1","0","true","-2423671","1701","true","0","0",""
"","demographic","hispanic_subgroup","hspalloth","Hsp2","692","251","22.1","0.021","0.007","false","73407","3230","2.7","0.03","0.001","true","-72715","3239.7377980324272","true","-0.8999999999999999","0.7071067811865476","false"
"","demographic","hispanic_subgroup","hsparg","Hsp2","368","215","35.5","0.011","0.006","false","18356","2145","7.1","0.007","0.001","true","-17988","2155.7481300003487","true","0.3999999999999998","0.6082762530298219","false"
"","demographic","hispanic_subgroup","hspbol","Hsp2","64","70","66.5","0.002","0.002","false","3802","607","9.7","0.002","0","true","-3738","611.0229128273342","true","0","0.2",""
"","demographic","hispanic_subgroup","hspcam","Hsp2","2254","533","14.4","0.067","0.016","true","179031","5054","1.7","0.073","0.002","true","-176777","5082.027646520629","true","-0.5999999999999996","1.61245154965971","false"
"","demographic","hispanic_subgroup","hspchl","Hsp2","68","66","59.2","0.002","0.002","false","7524","974","7.9","0.003","0","true","-7456","976.2335786070872","true","-0.09999999999999998","0.2","false"
"","demographic","hispanic_subgroup","hspcol","Hsp2","2501","541","13.1","0.075","0.016","true","102532","3800","2.3","0.042","0.002","true","-100031","3838.3174699339293","true","3.3","1.61245154965971","false"
"","demographic","hispanic_subgroup","hspcr","Hsp2","23","37","97.8","0.001","0.001","false","7377","1032","8.5","0.003","0","true","-7354","1032.66306218437","true","-0.19999999999999998","0.1","false"
"","demographic","hispanic_subgroup","hspcub","Hsp2","168","89","32.3","0.005","0.003","false","39929","2284","3.5","0.016","0.001","true","-39761","2285.7333615275425","true","-1.1","0.31622776601683794","true"
"","demographic","hispanic_subgroup","hspdom","Hsp2","9038","1085","7.3","0.27","0.029","true","701188","8731","0.8","0.285","0.004","true","-692150","8798.158102693995","true","-1.4999999999999964","2.9274562336608896","false"
"","demographic","hispanic_subgroup","hspec","Hsp2","5921","935","9.6","0.177","0.026","true","196728","6097","1.9","0.08","0.002","true","-190807","6168.2764205246185","true","9.7","2.6076809620810595","true"
"","demographic","hispanic_subgroup","hspguatm","Hsp2","506","277","33.2","0.015","0.008","false","37583","2564","4.1","0.015","0.001","true","-37077","2578.9193473236032","true","0","0.806225774829855",""
