id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RTIwdDIycHQ1,1095,279,15.4890286047383,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,1191,0,,0,0,False,196961,0,,0,0,False,-96,279,False,-0.08060453400503778,0.2342569269521411,False,0,0,-195866,279,True,0,0
RTIycHQ1dDI1,661,195,17.9335905347429,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,True,768,0,,0,0,False,107043,0,,0,0,False,-107,195,False,-0.13932291666666666,0.25390625,False,0,0,-106382,195,True,0,0
RTdwdDV0MTA=,477,171,21.7927395767621,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,False,609,0,,0,0,False,118902,0,,0,0,False,-132,171,False,-0.21674876847290642,0.28078817733990147,False,0,0,-118425,171,True,0,0
RWRIbHRoQ1NB,7864,738,5.70488579406135,0.385244697006809,0.0299115918634105,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.385244697006809,0.0299115918634105,True,-1072722,7845.786448788929,True,11.8244697006809,2.997838100703981,True
RW1ISW5z,17712,1011,3.46990551972389,0.905105013030814,0.0167042231567744,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.905105013030814,0.0167042231567744,True,-3377354,12042.513068292681,True,1.810501303081395,1.6823527313596223,False
RW1OSElucw==,1857,448,14.6656125757628,0.094894986969186,0.022312175680159,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.094894986969186,0.022312175680159,True,-428620,6792.789412310674,True,-1.8105013030814003,2.240163350254348,False
RW1QYkhJbnM=,4270,577,8.21451705900358,0.218202258674434,0.0270273968426191,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.218202258674434,0.0270273968426191,True,-704827,5867.439816478734,True,3.3202258674433978,2.704589026244869,False
RW1QdkhJbnM=,14364,950,4.02052073784597,0.734018089835965,0.0280147432291867,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.734018089835965,0.0280147432291867,True,-2764586,11283.06469891935,True,0.8018089835965014,2.8086043477094846,False
RXJuMTAwcGw=,1185,248,12.7223526092365,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,597,0,,0,0,False,640046,0,,0,0,False,588,248,False,0.9849246231155779,0.4154103852596315,False,0,0,-638861,248,True,0,0
RXJuMjV0MzA=,1477,319,13.1293820341487,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,1971,0,,0,0,False,262316,0,,0,0,False,-494,319,False,-0.2506341958396753,0.16184677828513444,False,0,0,-260839,319,True,0,0
