id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RlBvcDE1dDE5,1162,208.031247652847,10.8831983244928,0.018526194955518,0.00327727476706932,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,1677,267.639683156291,9.70178267953127,0.0260351171347399,0.00408322490259277,True,226700,355,0.1,0.027,0,True,-515,338.98082541642384,False,-0.30709600477042337,0.1661837354085411,False,-0.007508922179221899,0.005235766945159324,False,-225538,411.4632425867469,True,-0.8473805044482001,0.32772747670693203,False
RlBvcDIwdDI0,1851,273.497714798497,8.98217228503764,0.0295111763017761,0.0042841288564923,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,2561,458.617487673551,10.8861704542548,0.0397590548491764,0.00702236635390446,True,293909,3345,0.7,0.035,0,True,-710,533.9765912472191,False,-0.2772354549004295,0.16780096943650372,False,-0.010247878547400297,0.008226019041278681,False,-292058,3356.162391780231,True,-0.5488823698223904,0.42841288564922997,False
RlBvcDI1dDI5,2637,390.415163639939,9.00016859998959,0.0420426644558528,0.00611598896733887,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,3019,430.861926839678,8.67579145331196,0.0468694207690994,0.00654412479920196,True,405287,203,0,0.048,0,True,-382,581.4344331048861,False,-0.1265319642265651,0.17961973411446927,False,-0.004826756313246597,0.008957169778235807,False,-402650,440.0374984021252,True,-0.5957335544147195,0.611598896733887,False
RlBvcDMwdDM0,2009,296.58388358102,8.97432325299133,0.0320302286279137,0.00464560954840853,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,1992,346.031790447063,10.5599232933882,0.0309254343067393,0.00529379640709706,True,366861,247,0,0.043,0,True,17,455.74115460423377,False,0.00853413654618474,0.22991334410833733,False,0.0011047943211744023,0.007043150465243395,False,-364852,385.96761522179554,True,-1.0969771372086297,0.46456095484085297,False
RlBvcDM1dDM5,1706,257.029181222677,9.15877739651854,0.0271993877746245,0.00402892590213868,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,3068,373.769982743398,7.40599070993445,0.0476301367736327,0.00562946137111731,True,315142,3125,0.6,0.037,0,True,-1362,453.6165781802951,False,-0.4439374185136897,0.10774019165074784,True,-0.020430748999008205,0.0069226497278011955,False,-313436,3135.5524234176023,True,-0.9800612225375498,0.402892590213868,False
RlBvcDQwdDQ0,2188,297.43402629827,8.26375494680212,0.0348840917062594,0.0046438497190667,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,2201,320.962614645382,8.86479107024804,0.0341701209383199,0.00487952729970021,True,280418,3132,0.7,0.033,0,True,-13,437.5888481211558,False,-0.005906406179009541,0.19818276576515237,False,0.000713970767939498,0.006736106210697356,False,-278230,3146.091384559578,True,0.18840917062593965,0.46438497190666994,False
RlBvcDQ1dDQ5,2690,379.813111937964,8.58325017656215,0.0428876630209496,0.00593929392346292,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,2493,340.774118735564,8.30956754866364,0.0387033673326813,0.00516537946130792,True,281658,193,0,0.033,0,True,197,510.27933526647996,False,0.07902125952667469,0.21205083674865716,False,0.004184295688268301,0.007871236071201604,False,-278968,426.036383422825,True,0.9887663020949602,0.5939293923462919,False
RlBvcDUwdDU0,2619,318.755392111255,7.39871228864715,0.041755683811103,0.00495033451000303,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,2734,333.571581523367,7.41693770716535,0.0424448480896713,0.00502448431173168,True,285202,202,0,0.034,0,True,-115,461.3837881850642,False,-0.04206291148500366,0.1650855005790891,False,-0.0006891642785682994,0.007053456908478616,False,-282583,377.37117006999875,True,0.7755683811102996,0.495033451000303,False
RlBvcDU1dDU5,2439,322.921042981098,8.04856848703746,0.0388858773636045,0.00503593493213392,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,2231,321.333160442554,8.75568387538822,0.0346358654308913,0.00488253744027676,True,272993,2843,0.6,0.032,0,True,208,455.5578997229664,False,0.09323173464813984,0.2138781848523511,False,0.004250011932713203,0.007014257800821909,False,-270554,2861.280657328113,True,0.68858773636045,0.503593493213392,False
RlBvcDV0OQ==,1152,252.346983338418,13.3161824203404,0.0183667612639903,0.0039913647416433,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,True,1262,267.729340939689,12.8964658278551,0.0195923183208359,0.00411593752432743,True,234049,2327,0.6,0.028,0,True,-110,367.9103151584637,False,-0.08716323296354993,0.27836241405710305,False,-0.0012255570568455998,0.005733405114327776,False,-232897,2340.6426467959604,True,-0.9633238736009702,0.39913647416432996,False
