id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RTIwdDIycHQ1,705,169,14.5724201858199,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,904,0,,0,0,False,196961,0,,0,0,False,-199,169,False,-0.22013274336283187,0.18694690265486724,False,0,0,-196256,169,True,0,0
RTIycHQ1dDI1,349,126,21.9472047796135,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,False,664,0,,0,0,False,107043,0,,0,0,False,-315,126,False,-0.4743975903614458,0.18975903614457834,False,0,0,-106694,126,True,0,0
RTdwdDV0MTA=,314,104,20.1343581205351,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,False,480,0,,0,0,False,118902,0,,0,0,False,-166,104,False,-0.3458333333333333,0.21666666666666667,False,0,0,-118588,104,True,0,0
RWRIbHRoQ1NB,5000,472,5.73860182370821,0.371885459278542,0.0275422311662632,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.371885459278542,0.0275422311662632,True,-1075586,7825.2479193952695,True,10.488545927854197,2.761475144946773,True
RW1ISW5z,10975,691,3.82743316877956,0.859503485002741,0.0164306359302908,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.859503485002741,0.0164306359302908,True,-3384091,12019.878576757754,True,-2.7496514997259,1.6551912187833862,False
RW1OSElucw==,1794,461,15.621134955085,0.140496514997259,0.0351054936862347,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.140496514997259,0.0351054936862347,True,-428683,6793.659176025833,True,2.749651499725898,3.516241867326911,False
RW1QYkhJbnM=,2398,350,8.87264209536316,0.187798574673036,0.024987915928708,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.187798574673036,0.024987915928708,True,-706699,5849.480404275238,True,0.27985746730360006,2.5007917595437226,False
RW1QdkhJbnM=,8673,659,4.61902343751369,0.679223118490093,0.0316748334092556,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.679223118490093,0.0316748334092556,True,-2770277,11262.296835015493,True,-4.67768815099069,3.1737912210857453,False
RXJuMTAwcGw=,1012,231,13.8760407030527,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,497,0,,0,0,False,640046,0,,0,0,False,515,231,False,1.0362173038229376,0.46478873239436613,False,0,0,-639034,231,True,0,0
RXJuMjV0MzA=,1366,396,17.6229489958034,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,1786,0,,0,0,False,262316,0,,0,0,False,-420,396,False,-0.23516237402015677,0.22172452407614782,False,0,0,-260950,396,True,0,0
RXJuMnB0NXQ1,384,122,19.3135764944276,0,0,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,614,0,,0,0,False,128242,0,,0,0,False,-230,122,False,-0.3745928338762215,0.19869706840390874,False,0,0,-127858,122,True,0,0
RXJuMzB0MzU=,1466,275,11.4033596370829,0,0,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,1864,0,,0,0,False,257513,0,,0,0,False,-398,275,False,-0.21351931330472104,0.1475321888412017,False,0,0,-256047,275,True,0,0
RXJuMzV0NDA=,1116,243,13.2365918227277,0,0,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,807,0,,0,0,False,217597,0,,0,0,False,309,243,False,0.3828996282527881,0.3011152416356877,False,0,0,-216481,243,True,0,0
RXJuNDB0NDU=,839,184,13.3318359169803,0,0,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,947,0,,0,0,False,235829,0,,0,0,False,-108,184,False,-0.11404435058078141,0.1942977824709609,False,0,0,-234990,184,True,0,0
RXJuNDV0NTA=,543,173,19.3678035455395,0,0,ern45t50,Ern45t50,MdEWrk,economic__special_variable,economic,True,579,0,,0,0,False,155389,0,,0,0,False,-36,173,False,-0.06217616580310881,0.2987910189982729,False,0,0,-154846,173,True,0,0
RXJuNTB0NTU=,694,173,15.1537713619999,0,0,ern50t55,Ern50t55,MdEWrk,economic__special_variable,economic,True,671,0,,0,0,False,213254,0,,0,0,False,23,173,False,0.03427719821162444,0.2578241430700447,False,0,0,-212560,173,True,0,0
RXJuNTV0NjU=,1165,248,12.9407620960904,0,0,ern55t65,Ern55t65,MdEWrk,economic__special_variable,economic,True,790,0,,0,0,False,294509,0,,0,0,False,375,248,False,0.47468354430379744,0.3139240506329114,False,0,0,-293344,248,True,0,0
RXJuNXQ3cHQ1,263,102,23.5764559039375,0,0,ern5t7pt5,Ern5t7pt5,MdEWrk,economic__special_variable,economic,False,402,0,,0,0,False,149059,0,,0,0,False,-139,102,False,-0.34577114427860695,0.25373134328358204,False,0,0,-148796,102,True,0,0
RXJuNjV0NzU=,575,157,16.5983877362231,0,0,ern65t75,Ern65t75,MdEWrk,economic__special_variable,economic,True,561,0,,0,0,False,221820,0,,0,0,False,14,157,False,0.024955436720142603,0.2798573975044564,False,0,0,-221245,157,True,0,0
RXJuNzV0MTAw,1126,224,12.0932693397831,0,0,ern75t100,Ern75t100,MdEWrk,economic__special_variable,economic,True,481,0,,0,0,False,391186,0,,0,0,False,645,224,False,1.340956340956341,0.4656964656964656,False,0,0,-390060,224,True,0,0
RXJuVTJwdDVr,378,110,17.6902912465222,0,0,ernu2pt5k,ErnU2pt5k,MdEWrk,economic__special_variable,economic,True,818,0,,0,0,False,175652,0,,0,0,False,-440,110,True,-0.5378973105134475,0.13447432762836184,True,0,0,-175274,110,True,0,0
RjE2cGw=,13120,713,3.3036177626214,1,0,f16pl,F16pl,F16pl,employment_status,economic,True,13524,774,3.47912390805404,1,0,True,3642664,1274,0,1,0,True,-404,1052.3521273794242,False,-0.02987281869269447,0.07656498352822855,False,0,0,-3629544,1459.9469168432117,True,0,0
RjE2cGxDTEZF,7561,532,4.27726828883943,0.576295731707317,0.0257556693590995,f16plclfe,F16plCLFE,F16pl,employment_status,economic,True,7921,558,4.28241038308003,0.58569949719018,0.0240574599331107,True,1986266,7118,0.2,0.545,0.002,True,-360,770.9656282870203,False,-0.04544880696881707,0.09504027171726796,False,-0.009403765482863036,0.035243664431617826,False,-1978705,7137.853178652528,True,3.129573170731689,2.583320545606481,False
RjE2cGxDdkxG,8043,556,4.20233645371931,0.613033536585366,0.0261917778463847,f16plcvlf,F16plCvLF,F16pl,employment_status,economic,True,8710,579,4.0410526279056,0.644040224785566,0.0217787789878222,True,2130364,7693,0.2,0.585,0.002,True,-667,802.7309636484692,False,-0.07657864523536165,0.08856043162530745,False,-0.031006688200200028,0.03406353535607798,False,-2122321,7713.0658625477845,True,2.8033536585365937,2.6268026700808123,False
RjE2cGxMRg==,8043,556,4.20233645371931,0.613033536585366,0.0261917778463847,f16pllf,F16plLF,F16pl,employment_status,economic,True,8737,579,4.02856454035227,0.646036675539781,0.0215842311645496,True,2130876,7736,0.2,0.585,0.002,True,-694,802.7309636484692,False,-0.07943229941627561,0.08815577769137249,False,-0.03300313895441498,0.03393947939670087,False,-2122833,7755.954615648547,True,2.8033536585365937,2.6268026700808123,False
RmFtMg==,6369,348,3.32155993053358,1,0,fam2,Fam2,Fam2,income_and_benefits,economic,True,7334,392,3.24922105727332,1,0,True,1887978,7339,0.2,1,0,True,-965,524.1831740908897,False,-0.13157894736842105,0.06637806019970571,False,0,0,-1881609,7347.24608271698,True,0,0
RmFtQndQdg==,800,173,13.145896656535,0.125608415763856,0.0262814621771646,fambwpv,FamBwPv,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,1201,237,11.9960822921122,0.163757840196346,0.031107288539886,True,294980,3717,0.8,0.156,0.002,True,-401,293.42460701175014,False,-0.33388842631140714,0.19500737228847426,False,-0.03814942443249,0.04072319553366922,False,-294180,3721.0237838530406,True,-3.039158423614399,2.6357451587164746,False
RmFtSTEwdDE0,219,99,27.4805346213099,0.0343853038153556,0.0154300787474418,fami10t14,FamI10t14,Fam2,income_and_benefits,economic,False,,0,,,,False,77738,2003,1.6,0.041,0.001,True,,,,,,,-77519,2005.4450877548356,True,-0.6614696184644404,1.546244903475045,False
RmFtSTE1dDI0,302,107,21.5382757301878,0.0474171769508557,0.0165991467509757,fami15t24,FamI15t24,Fam2,income_and_benefits,economic,False,,0,,,,False,168362,3233,1.2,0.089,0.002,True,,,,,,,-168060,3234.7701618507613,True,-4.15828230491443,1.671920072432971,False
RmFtSTIwMHBs,269,111,25.0844623224596,0.0422358298005966,0.017274701512177,fami200pl,FamI200pl,Fam2,income_and_benefits,economic,False,,0,,,,False,222929,3638,1,0.118,0.002,True,,,,,,,-222660,3639.6929815576477,True,-7.576417019940339,1.739009236130764,True
RmFtSTI1dDM0,824,185,13.6483017086198,0.129376668236772,0.0281736214229838,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,True,,0,,,,False,160633,3131,1.2,0.085,0.002,True,,,,,,,-159809,3136.460744214727,True,4.4376668236771994,2.8244520602864047,False
RmFtSTM1dDQ5,1000,199,12.09726443769,0.15701051970482,0.0300442439636587,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,True,,0,,,,False,210893,3279,0.9,0.112,0.002,True,,,,,,,-209893,3285.033028753288,True,4.501051970481999,3.0110738870838794,False
RmFtSTUwdDc0,1148,211,11.1731251919554,0.180248076621134,0.0316314467898793,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,True,,0,,,,False,287074,3475,0.7,0.152,0.002,True,,,,,,,-285926,3481.400005744815,True,2.8248076621134004,3.1694611939901796,False
RmFtSTc1dDk5,841,192,13.878397767891,0.132045847071754,0.0292699016947584,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,,,False,214732,3170,0.9,0.114,0.002,True,,,,,,,-213891,3175.809188222743,True,1.804584707175401,2.9338151700828403,False
RmFtSVUxMA==,388,125,19.5844953467239,0.0609200816454702,0.0193419831169414,famiu10,FamIU10,Fam2,income_and_benefits,economic,True,,0,,,,False,112405,2509,1.4,0.06,0.001,True,,,,,,,-112017,2512.1118605667225,True,0.09200816454702032,1.9367816368812623,False
RmFtUHZV,6369,348,3.32155993053358,1,0,fampvu,FamPvU,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,7334,392,3.24922105727332,1,0,True,1887978,7339,0.2,1,0,True,-965,524.1831740908897,False,-0.13157894736842105,0.06637806019970571,False,0,0,-1881609,7347.24608271698,True,0,0
RkYxMHQxMnA1,163,106,39.5323251347269,0,0,ff10t12p5,FF10t12p5,MdEFFTWrk,economic__special_variable,economic,False,163,0,,0,0,False,22815,0,,0,0,False,0,106,0,0.6503067484662577,0,0,-22652,106,True,0,0
RkYxMnA1dDE1,62,53,51.9658790077459,0,0,ff12p5t15,FF12p5t15,MdEFFTWrk,economic__special_variable,economic,False,128,0,,0,0,False,23183,0,,0,0,False,-66,53,False,-0.515625,0.4140625,False,0,0,-23121,53,True,0,0
RkYxNXQxN3A1,97,64,40.1090464700906,0,0,ff15t17p5,FF15t17p5,MdEFFTWrk,economic__special_variable,economic,False,297,0,,0,0,False,34778,0,,0,0,False,-200,64,True,-0.6734006734006734,0.21548821548821548,True,0,0,-34681,64,True,0,0
RkYxN3A1dDIw,198,86,26.4038561910902,0,0,ff17p5t20,FF17p5t20,MdEFFTWrk,economic__special_variable,economic,False,238,0,,0,0,False,33443,0,,0,0,False,-40,86,False,-0.16806722689075632,0.36134453781512604,False,0,0,-33245,86,True,0,0
RkYyMHQyMnA1,263,104,24.0387393530343,0,0,ff20t22p5,FF20t22p5,MdEFFTWrk,economic__special_variable,economic,False,343,0,,0,0,False,56003,0,,0,0,False,-80,104,False,-0.23323615160349853,0.3032069970845481,False,0,0,-55740,104,True,0,0
RkYyMnA1dDI1,138,73,32.1571736927889,0,0,ff22p5t25,FF22p5t25,MdEFFTWrk,economic__special_variable,economic,False,207,0,,0,0,False,32627,0,,0,0,False,-69,73,False,-0.3333333333333333,0.3526570048309179,False,0,0,-32489,73,True,0,0
RkZUMTAwcGw=,352,135,23.3144515059409,0,0,fft100pl,FFT100pl,MdEFFTWrk,economic__special_variable,economic,False,206,0,,0,0,False,216925,0,,0,0,False,146,135,False,0.7087378640776699,0.6553398058252426,False,0,0,-216573,135,True,0,0
RkZUMjV0MzA=,724,206,17.296680045005,0,0,fft25t30,FFT25t30,MdEFFTWrk,economic__special_variable,economic,True,896,0,,0,0,False,84078,0,,0,0,False,-172,206,False,-0.19196428571428573,0.22991071428571427,False,0,0,-83354,206,True,0,0
RkZUMnA1dDU=,27,41,92.3111561409434,0,0,fft2p5t5,FFT2p5t5,MdEFFTWrk,economic__special_variable,economic,False,0,0,,0,0,False,2238,0,,0,0,False,27,41,False,0,,0,0,-2211,41,True,0,0
RkZUMzB0MzU=,851,199,14.2153518656756,0,0,fft30t35,FFT30t35,MdEFFTWrk,economic__special_variable,economic,True,920,0,,0,0,False,89523,0,,0,0,False,-69,199,False,-0.075,0.21630434782608696,False,0,0,-88672,199,True,0,0
RkZUMzV0NDA=,592,173,17.7647252115337,0,0,fft35t40,FFT35t40,MdEFFTWrk,economic__special_variable,economic,True,374,0,,0,0,False,89490,0,,0,0,False,218,173,False,0.5828877005347594,0.4625668449197861,False,0,0,-88898,173,True,0,0
RkZUNDB0NDU=,447,137,18.6314708662274,0,0,fft40t45,FFT40t45,MdEFFTWrk,economic__special_variable,economic,True,383,0,,0,0,False,94744,0,,0,0,False,64,137,False,0.1671018276762402,0.35770234986945165,False,0,0,-94297,137,True,0,0
RkZUNDV0NTA=,300,124,25.1266464032421,0,0,fft45t50,FFT45t50,MdEFFTWrk,economic__special_variable,economic,False,287,0,,0,0,False,65731,0,,0,0,False,13,124,False,0.04529616724738676,0.4320557491289199,False,0,0,-65431,124,True,0,0
RkZUNTB0NTU=,379,126,20.2099590186942,0,0,fft50t55,FFT50t55,MdEFFTWrk,economic__special_variable,economic,False,221,0,,0,0,False,83393,0,,0,0,False,158,126,False,0.7149321266968326,0.5701357466063348,False,0,0,-83014,126,True,0,0
RkZUNTV0NjU=,523,160,18.597406824086,0,0,fft55t65,FFT55t65,MdEFFTWrk,economic__special_variable,economic,True,330,0,,0,0,False,125371,0,,0,0,False,193,160,False,0.5848484848484848,0.4848484848484848,False,0,0,-124848,160,True,0,0
RkZUNXQ3cDU=,29,40,83.8486531810083,0,0,fft5t7p5,FFT5t7p5,MdEFFTWrk,economic__special_variable,economic,False,41,0,,0,0,False,10332,0,,0,0,False,-12,40,False,-0.2926829268292683,0.9756097560975607,False,0,0,-10303,40,True,0,0
RkZUNjV0NzU=,332,119,21.7892847987695,0,0,fft65t75,FFT65t75,MdEFFTWrk,economic__special_variable,economic,False,239,0,,0,0,False,94257,0,,0,0,False,93,119,False,0.3891213389121339,0.497907949790795,False,0,0,-93925,119,True,0,0
RkZUNzV0MTAw,525,140,16.2107396149949,0,0,fft75t100,FFT75t100,MdEFFTWrk,economic__special_variable,economic,True,198,0,,0,0,False,171740,0,,0,0,False,327,140,False,1.6515151515151516,0.7070707070707071,False,0,0,-171215,140,True,0,0
RkZUN3A1dDEw,38,33,52.7915533514638,0,0,fft7p5t10,FFT7p5t10,MdEFFTWrk,economic__special_variable,economic,False,98,0,,0,0,False,10188,0,,0,0,False,-60,33,False,-0.6122448979591837,0.33673469387755095,False,0,0,-10150,33,True,0,0
RkZUVTJwdDVr,0,0,,0,0,fftu2pt5k,FFTU2pt5k,MdEFFTWrk,economic__special_variable,economic,False,21,0,,0,0,False,1176,0,,0,0,False,-21,0,True,-1,0,True,0,0,-1176,0,True,0,0
RkkxMDB0MTQ5,952,196,12.5156445556946,0.149474014758989,0.0296705168966199,fi100t149,FI100t149,Fam2,income_and_benefits,economic,True,,0,,,,False,284755,4036,0.9,0.151,0.002,True,,,,,,,-283803,4040.756364840622,True,-0.15259852410109964,2.973784748283922,False
RkkxNTB0MTk5,426,119,16.9813205473979,0.0668864813942534,0.0183233393878895,fi150t199,FI150t199,Fam2,income_and_benefits,economic,True,,0,,,,False,148457,2767,1.1,0.079,0.001,True,,,,,,,-148031,2769.557726424925,True,-1.21135186057466,1.8350606701790073,False
RklSRQ==,766,209,16.5863801217393,0.0569728523614727,0.0151828744224156,fire,FIRE,CvEm16pl3,industry,economic,True,,0,,0,0,False,383827,4616,0.7,0.095,0.001,True,,,,,0.0569728523614727,0.0151828744224156,True,-383061,4620.72905503017,True,-3.8027147638527294,1.521577062546757,False
Rldya0Vybg==,6040,518,5.21347048048471,0,0,fwrkern,FWrkErn,MdEFFTWrk,economic__special_variable,economic,True,5590,0,,0,0,False,1342035,5633,0.3,0,0,True,450,518,False,0.08050089445438283,0.0926654740608229,False,0,0,-1335995,5656.767009520544,True,0,0
