id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwQXJn,332,354,64.7,0.007,0.007,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,8,15,114,0,0,False,18356,2145,7.1,0.007,0.001,True,324,354.31765409022455,False,40.5,89.5145108697467,False,0.007,0.007,False,-18024,2174.0149493506246,True,0,0.7071067811865476
SHNwQm9s,42,63,91.2,0.001,0.001,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,70,87,75.8,0.002,0.002,False,3802,607,9.7,0.002,0,True,-28,107.41508273980894,False,-0.4,1.1687984411002468,False,-0.001,0.0022360679774997894,False,-3760,610.2606000718054,True,-0.1,0.1,False
SHNwQ0Ft,1527,476,19,0.032,0.01,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,True,1531,679,27,0.038,0.017,False,179031,5054,1.7,0.073,0.002,True,-4,829.2267482419993,False,-0.002612671456564337,0.5406758705883071,False,-0.005999999999999998,0.01972308292331602,False,-177504,5076.366023052317,True,-4.1,1.019803902718557,True
SHNwQ2hs,0,0,,0,0,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,173,240,84.2,0.004,0.006,False,7524,974,7.9,0.003,0,True,-173,240,False,-1,0,True,-0.004,0.006,False,-7524,974,True,-0.3,0,True
SHNwQ29s,1178,392,20.2,0.025,0.008,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,False,1421,496,21.2,0.035,0.012,False,102532,3800,2.3,0.042,0.002,True,-243,632.2024992041711,False,-0.17100633356790992,0.3997864583528632,False,-0.010000000000000002,0.014422205101855958,False,-101354,3820.1654414436034,True,-1.7000000000000002,0.8246211251235323,False
SHNwQ1I=,0,0,,0,0,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,7377,1032,8.5,0.003,0,True,0,0,0,,,,-7377,1032,True,-0.3,0,True
SHNwQ3Vi,96,71,44.7,0.002,0.001,hspcub,HspCub,Hsp2,hispanic_subgroup,demographic,False,27,31,69.5,0.001,0.001,False,39929,2284,3.5,0.016,0.001,True,69,77.47257579298626,False,2.5555555555555554,4.855940922019254,False,0.001,0.001414213562373095,False,-39833,2285.103279941631,True,-1.4000000000000001,0.14142135623730953,True
SHNwRG9t,8507,1218,8.7,0.178,0.024,hspdom,HspDom,Hsp2,hispanic_subgroup,demographic,True,8875,1303,8.9,0.219,0.029,True,701188,8731,0.8,0.285,0.004,True,-368,1783.6291654937693,False,-0.04146478873239436,0.1965689755342738,False,-0.04100000000000001,0.037643060449437424,False,-692681,8815.547912637081,True,-10.699999999999996,2.4331050121192876,True
SHNwRWM=,18084,1989,6.7,0.379,0.038,hspec,HspEc,Hsp2,hispanic_subgroup,demographic,True,12450,1698,8.3,0.307,0.038,True,196728,6097,1.9,0.08,0.002,True,5634,2615.2103165902354,False,0.4525301204819277,0.25449594738547443,False,0.07200000000000001,0.05374011537017761,False,-178644,6413.230855037108,True,29.9,3.8052595180880893,True
SHNwR3VhdG0=,308,212,41.8,0.006,0.004,hspguatm,HspGuatm,Hsp2,hispanic_subgroup,demographic,False,831,592,43.3,0.021,0.015,False,37583,2564,4.1,0.015,0.001,True,-523,628.8147580965319,False,-0.6293622141997594,0.3671520762747246,False,-0.015000000000000001,0.015524174696260024,False,-37275,2572.749501991984,True,-0.9,0.4123105625617661,False
SHNwSG5k,527,288,33.2,0.011,0.006,hsphnd,HspHnd,Hsp2,hispanic_subgroup,demographic,False,175,187,65.1,0.004,0.005,False,50108,3416,4.1,0.02,0.001,True,352,343.3846240005513,False,2.0114285714285716,3.61433626916786,False,0.006999999999999999,0.0078102496759066544,False,-49581,3428.1190177705325,True,-0.9000000000000001,0.6082762530298219,False
SHNwTWU=,15015,1938,7.8,0.315,0.038,hspme,HspMe,Hsp2,hispanic_subgroup,demographic,True,12668,1866,9,0.313,0.042,True,339425,7811,1.4,0.138,0.003,True,2347,2690.3159665734433,False,0.18526997158193875,0.2321334776557376,False,0.0020000000000000018,0.05663920903402518,False,-324410,8047.829831699972,True,17.7,3.8118237105091834,True
