id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RXJuNjV0NzU=,2085,378,11.0209704576764,0,0,ern65t75,Ern65t75,MdEWrk,economic__special_variable,economic,True,2933,0,,0,0,False,221820,0,,0,0,False,-848,378,False,-0.2891237640640982,0.1288782816229117,False,0,0,-219735,378,True,0,0
RXJuNzV0MTAw,6180,656,6.45281868169701,0,0,ern75t100,Ern75t100,MdEWrk,economic__special_variable,economic,True,5354,0,,0,0,False,391186,0,,0,0,False,826,656,False,0.15427717594322002,0.12252521479267837,False,0,0,-385006,656,True,0,0
RXJuVTJwdDVr,1634,370,13.7652394221576,0,0,ernu2pt5k,ErnU2pt5k,MdEWrk,economic__special_variable,economic,True,2375,0,,0,0,False,175652,0,,0,0,False,-741,370,False,-0.312,0.1557894736842105,False,0,0,-174018,370,True,0,0
RjE2cGw=,34601,1347.09316678543,2.3666992894603,1,0,f16pl,F16pl,F16pl,employment_status,economic,True,31219,1586.12483745763,3.08853463478593,1,0,True,3642664,1274,0,1,0,True,3382,2080.973810503148,False,0.1083314648130946,0.0709419257495368,False,0,0,-3608063,1854.1132651485989,True,0,0
RjE2cGxDTEZF,23351,1150.87879466085,2.9961130896963,0.674864888298026,0.0203961016466203,f16plclfe,F16plCLFE,F16pl,employment_status,economic,True,19954,1187.26071273331,3.61701430839047,0.639162048752362,0.019792843687669,True,1986266,7118,0.2,0.545,0.002,True,3397,1653.5144390056041,False,0.170241555577829,0.09041471427466959,False,0.035702839545664,0.028421077101752595,False,-1962915,7210.440069787697,True,12.986488829802603,2.049392501155568,True
RjE2cGxDdkxG,24535,1171.22713424852,2.90194489046049,0.709083552498483,0.0195879642227652,f16plcvlf,F16plCvLF,F16pl,employment_status,economic,True,21322,1196.8780221894,3.41236949546638,0.682981517665524,0.0163013485548747,True,2130364,7693,0.2,0.585,0.002,True,3213,1674.6014451206029,False,0.15068942875902824,0.0847909608526939,False,0.02610203483295903,0.025483765559662586,False,-2105829,7781.646483874733,True,12.408355249848299,1.968980300542211,True
RjE2cGxMRg==,24566,1174.14224010552,2.90549653870961,0.709979480361839,0.0196843079542688,f16pllf,F16plLF,F16pl,employment_status,economic,True,21322,1196.8780221894,3.41236949546638,0.682981517665524,0.0163013485548747,True,2130876,7736,0.2,0.585,0.002,True,3244,1676.641583642735,False,0.15214332614201295,0.0849417177865475,False,0.026997962696315048,0.025557893973213158,False,-2106310,7824.596219614147,True,12.4979480361839,1.9785650852031378,True
RmFtMg==,14008,823.527170165017,3.57384651308682,1,0,fam2,Fam2,Fam2,income_and_benefits,economic,True,9975,531.475305164784,3.23895029467153,1,0,True,1887978,7339,0.2,1,0,True,4033,980.1341744883714,True,0.4043107769423559,0.11142012774130713,True,0,0,-1873970,7385.060460145198,True,0,0
RmFtQndQdg==,919,303,20.0429302367116,0.0656053683609366,0.0212838559719713,fambwpv,FamBwPv,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,False,870,222,15.5120008384865,0.087218045112782,0.0217650747446999,True,294980,3717,0.8,0.156,0.002,True,49,375.62348169410285,False,0.05632183908045977,0.4403977160551652,False,-0.021612676751845403,0.03044209262974528,False,-294061,3729.3294303399907,True,-9.03946316390634,2.13776173844425,True
RmFtSTEwdDE0,217,150,42.0209264213578,0.0154911479154769,0.0106693684195855,fami10t14,FamI10t14,Fam2,income_and_benefits,economic,False,,0,,,,False,77738,2003,1.6,0.041,0.001,True,,,,,,,-77521,2008.6087224743399,True,-2.5508852084523106,1.0716129080635806,False
RmFtSTE1dDI0,563,205.406913223484,22.178938623795,0.0401913192461451,0.0144719208466635,fami15t24,FamI15t24,Fam2,income_and_benefits,economic,False,,0,,,,False,168362,3233,1.2,0.089,0.002,True,,,,,,,-167799,3239.51863708175,True,-4.88086807538549,1.460946586950028,True
RmFtSTIwMHBs,6588,625.039198770765,5.76750210635128,0.470302684180468,0.0350213087549092,fami200pl,FamI200pl,Fam2,income_and_benefits,economic,True,,0,,,,False,222929,3638,1,0.118,0.002,True,,,,,,,-216341,3691.3030219693424,True,35.230268418046805,3.5078370357054496,True
RmFtSTI1dDM0,486,200.422054674629,25.0693652888325,0.0346944603083952,0.0141615523174643,fami25t34,FamI25t34,Fam2,income_and_benefits,economic,False,,0,,,,False,160633,3131,1.2,0.085,0.002,True,,,,,,,-160147,3137.4081659866956,True,-5.030553969160479,1.430208250711338,True
RmFtSTM1dDQ5,575,213,22.5188317695256,0.0410479725870931,0.0150128822900585,fami35t49,FamI35t49,Fam2,income_and_benefits,economic,False,,0,,,,False,210893,3279,0.9,0.112,0.002,True,,,,,,,-210318,3285.9108326307332,True,-7.0952027412906915,1.5145515331448849,True
RmFtSTUwdDc0,906,305.792413247942,20.5178857094508,0.0646773272415762,0.0214961386327531,fami50t74,FamI50t74,Fam2,income_and_benefits,economic,False,,0,,,,False,287074,3475,0.7,0.152,0.002,True,,,,,,,-286168,3488.428586054185,True,-8.732267275842378,2.1588978116588575,True
RmFtSTc1dDk5,1262,303.389188996576,14.6141931799563,0.0900913763563678,0.0210006833188097,fami75t99,FamI75t99,Fam2,income_and_benefits,economic,True,,0,,,,False,214732,3170,0.9,0.114,0.002,True,,,,,,,-213470,3184.485044712881,True,-2.3908623643632207,2.109570335060986,False
RmFtSVUxMA==,537,232,26.2632094321147,0.0383352370074243,0.016407907162739,famiu10,FamIU10,Fam2,income_and_benefits,economic,False,,0,,,,False,112405,2509,1.4,0.06,0.001,True,,,,,,,-111868,2519.703355555967,True,-2.16647629925757,1.6438352029965222,False
RmFtUHZV,14008,823.527170165017,3.57384651308682,1,0,fampvu,FamPvU,FamPvU,income_in_past_12_months_is_below_the_poverty_level,economic,True,9975,531.475305164784,3.23895029467153,1,0,True,1887978,7339,0.2,1,0,True,4033,980.1341744883714,True,0.4043107769423559,0.11142012774130713,True,0,0,-1873970,7385.060460145198,True,0,0
RkYxMHQxMnA1,36,37,62.4788922661263,0,0,ff10t12p5,FF10t12p5,MdEFFTWrk,economic__special_variable,economic,False,113,0,,0,0,False,22815,0,,0,0,False,-77,37,False,-0.6814159292035398,0.3274336283185841,False,0,0,-22779,37,True,0,0
RkYxMnA1dDE1,12,18,91.1854103343465,0,0,ff12p5t15,FF12p5t15,MdEFFTWrk,economic__special_variable,economic,False,107,0,,0,0,False,23183,0,,0,0,False,-95,18,True,-0.8878504672897196,0.16822429906542055,True,0,0,-23171,18,True,0,0
RkYxNXQxN3A1,153,102,40.5268490374873,0,0,ff15t17p5,FF15t17p5,MdEFFTWrk,economic__special_variable,economic,False,127,0,,0,0,False,34778,0,,0,0,False,26,102,False,0.2047244094488189,0.8031496062992127,False,0,0,-34625,102,True,0,0
RkYxN3A1dDIw,148,108,44.3604698923848,0,0,ff17p5t20,FF17p5t20,MdEFFTWrk,economic__special_variable,economic,False,142,0,,0,0,False,33443,0,,0,0,False,6,108,False,0.04225352112676056,0.7605633802816902,False,0,0,-33295,108,True,0,0
RkYyMHQyMnA1,308,173,34.14518612087,0,0,ff20t22p5,FF20t22p5,MdEFFTWrk,economic__special_variable,economic,False,154,0,,0,0,False,56003,0,,0,0,False,154,173,False,1,1.1233766233766234,False,0,0,-55695,173,True,0,0
RkYyMnA1dDI1,14,22,95.5275727312202,0,0,ff22p5t25,FF22p5t25,MdEFFTWrk,economic__special_variable,economic,False,182,0,,0,0,False,32627,0,,0,0,False,-168,22,True,-0.9230769230769231,0.1208791208791209,True,0,0,-32613,22,True,0,0
RkZUMTAwcGw=,8247,701,5.16721010827185,0,0,fft100pl,FFT100pl,MdEFFTWrk,economic__special_variable,economic,True,3763,0,,0,0,False,216925,0,,0,0,False,4484,701,True,1.1916024448578262,0.1862875365399947,True,0,0,-208678,701,True,0,0
RkZUMjV0MzA=,217,116,32.4961830991834,0,0,fft25t30,FFT25t30,MdEFFTWrk,economic__special_variable,economic,False,663,0,,0,0,False,84078,0,,0,0,False,-446,116,True,-0.6726998491704375,0.17496229260935142,True,0,0,-83861,116,True,0,0
RkZUMnA1dDU=,0,0,,0,0,fft2p5t5,FFT2p5t5,MdEFFTWrk,economic__special_variable,economic,False,8,0,,0,0,False,2238,0,,0,0,False,-8,0,True,-1,0,True,0,0,-2238,0,True,0,0
RkZUMzB0MzU=,525,189,21.8844984802432,0,0,fft30t35,FFT30t35,MdEFFTWrk,economic__special_variable,economic,False,546,0,,0,0,False,89523,0,,0,0,False,-21,189,False,-0.038461538461538464,0.34615384615384615,False,0,0,-88998,189,True,0,0
RkZUMzV0NDA=,304,141,28.1954887218045,0,0,fft35t40,FFT35t40,MdEFFTWrk,economic__special_variable,economic,False,294,0,,0,0,False,89490,0,,0,0,False,10,141,False,0.034013605442176874,0.4795918367346938,False,0,0,-89186,141,True,0,0
RkZUNDB0NDU=,516,237,27.9211140171061,0,0,fft40t45,FFT40t45,MdEFFTWrk,economic__special_variable,economic,False,661,0,,0,0,False,94744,0,,0,0,False,-145,237,False,-0.21936459909228442,0.3585476550680786,False,0,0,-94228,237,True,0,0
RkZUNDV0NTA=,598,211,21.44941090362,0,0,fft45t50,FFT45t50,MdEFFTWrk,economic__special_variable,economic,False,666,0,,0,0,False,65731,0,,0,0,False,-68,211,False,-0.1021021021021021,0.31681681681681684,False,0,0,-65133,211,True,0,0
