id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QXNpYQ==,16760,1200.65398845796,4.35489763751426,0.372494110325821,0.022354946817113,asia,Asia,Fb2,place_of_birth,social,True,15341,1039.2521349509,4.11814233606429,0.377438799360315,0.0193465053658618,True,913986,5031,0.3,0.292,0.001,True,1419,1587.9593823520834,False,0.09249722964604654,0.10771594084692995,False,-0.004944689034493965,0.029564013886265006,False,-897226,5172.2848916122175,True,8.049411032582103,2.2377302053553074,True
QXNpYU5FQw==,17,27,96.5492580010728,0.000377828154865093,0.000599897959565039,asianec,AsiaNEC,Fb2,place_of_birth,social,False,21,33,95.5275727312201,0.000516668716939353,0.000811585400520282,False,2126,437,12.5,0.001,0,True,-4,42.638011210655684,False,-0.19047619047619047,1.8086796660259923,False,-0.00013884056207426,0.0010092316008865178,False,-2109,437.8333016114695,True,-0.0622171845134907,0.0599897959565039,False
QXN5ckNobGRT,37,57,93.6498808839234,0.000204609803574589,0.00031519017587618,asyrchlds,AsyrChldS,Pop_5,ancestry,social,False,0,0,,0,0,False,141,93,40.1,0,0,False,37,57,False,0,,0.000204609803574589,0.00031519017587618,False,-104,109.07795377618706,False,0.0204609803574589,0.031519017587618,False
QXVzTlpTYlI=,1447,362,15.2080712006604,0.0321598435346935,0.00794654770561505,ausnzsbr,AusNZSbR,Fb2,place_of_birth,social,True,917,277,18.3630379226565,0.0225612006396851,0.00674144446130831,True,10090,877,5.3,0.003,0,True,530,455.82123689007733,False,0.5779716466739367,0.6189067375847325,False,0.009598642895008398,0.010420877787524442,False,-8643,948.7744726751453,True,2.91598435346935,0.794654770561505,True
QXVzdHJpYQ==,226,116,31.2020873120478,0.00502289194114771,0.00257062285644389,austria,Austria,Fb2,place_of_birth,social,False,145,125,52.4054082381302,0.00356747447410506,0.00307134699343405,False,3660,408,6.8,0.001,0,True,81,170.53152201279386,False,0.5586206896551724,1.5637661229806585,False,0.0014554174670426499,0.004005155955034475,False,-3434,424.16977732978575,True,0.40228919411477104,0.257062285644389,False
QXVzdHJpYW4=,1459,332,13.8330163267092,0.00806826225446824,0.00183073954359552,austrian,Austrian,Pop_5,ancestry,social,True,1477,285,11.7300121621705,0.0087836150195654,0.00168287964066522,True,24296,1178,2.9,0.003,0,True,-18,437.5488544151384,False,-0.012186865267433988,0.294715305578051,False,-0.0007153527650971599,0.002486702869554349,False,-22837,1223.8905179794474,True,0.5068262254468239,0.183073954359552,False
QXVzdHJsaWE=,1372,353,15.6406461846571,0.030492954616171,0.00775427706878458,austrlia,Austrlia,Fb2,place_of_birth,social,True,797,269,20.5176707485899,0.0196088079714602,0.00656104317852882,False,8788,801,5.5,0.003,0,True,575,443.81302369353693,False,0.7214554579673776,0.7305834975128391,False,0.0108841466447108,0.010157563706420843,False,-7416,875.3342218832759,True,2.7492954616171,0.775427706878458,True
QXVzdHJsbg==,745,251,20.4810183390792,0.0041198460449478,0.00138623024423354,austrln,Austrln,Pop_5,ancestry,social,False,711,263,22.4864162380995,0.0042282669457759,0.00156103809679128,False,5177,715,8.4,0.001,0,True,34,363.5519220138989,False,0.04781997187060478,0.5242633559590144,False,-0.00010842090082810018,0.002087695914078849,False,-4432,757.7770120556575,True,0.31198460449477994,0.138623024423354,False
QXZnRm1Teg==,2.8834628509161817,0.1360196266747764,2.8676181182458493,,,avgfmsz,AvgFmSz,mean,household_type,social,True,2.9319951255839145,0.1459287454535491,3.025601331472937,,,True,3.39,0.01,0.2,,,True,-0.0485322746677328,0.19949069549829204,False,,,,,-0.5065371490838184,0.1363867253098539,True,,
QXZnSEhTeg==,1.9978984522855783,0.045771419454690564,1.3926919591556448,,,avghhsz,AvgHHSz,mean,household_type,social,True,1.9462505418292155,0.04399959002538989,1.374307704233988,,,True,2.62,0.01,0.2,,,True,0.051647910456362744,0.06349005245941773,False,,,,,-0.6221015477144218,0.046851070840453854,True,,
QmFoYW1hcw==,8,13,98.7841945288754,0.000177801484642397,0.000288843680265309,bahamas,Bahamas,Fb2,place_of_birth,social,False,87,78,54.5016245676554,0.00214048468446303,0.00191671186896087,False,898,202,13.7,0,0,True,-79,79.07591289387686,False,-0.9080459770114943,0.17065908608944078,True,-0.001962683199820633,0.001938353698437073,False,-890,202.41788458533006,True,0.017780148464239698,0.0288843680265309,False
QmFoYW1pYW4=,8,13,98.7841945288754,4.42399575296408e-05,7.18859295084043e-05,bahamian,Bahamian,Pop_5,ancestry,social,False,51,51,60.790273556231,0.000303293409612617,0.000303213760221324,False,1534,383,15.2,0,0,True,-43,52.630789467763066,False,-0.8431372549019608,0.29930073573477933,False,-0.00025905345208297617,0.0003116186311003272,False,-1526,383.22056312259656,True,0.00442399575296408,0.0071885929508404296,False
QmFyYmFkb3M=,60,67.6830850360709,68.5745542412066,0.00133351113481798,0.0015033643386041,barbados,Barbados,Fb2,place_of_birth,social,False,0,0,,0,0,False,21922,1345,3.7,0.007,0,True,60,67.6830850360709,False,0,,0.00133351113481798,0.0015033643386041,False,-21862,1346.7018972289302,True,-0.566648886518202,0.15033643386040998,True
QmFzcXVl,28,39,84.672166739036,0.000154839851353743,0.00021565345342729,basque,Basque,Pop_5,ancestry,social,False,137,98,43.4850132008076,0.000814729355233893,0.000582499955797159,False,721,213,18,0,0,True,-109,105.47511554864494,False,-0.7956204379562044,0.3200185752774774,False,-0.00065988950388015,0.0006211381573199384,False,-693,216.54098919142305,True,0.015483985135374299,0.021565345342729,False
QmVsYXJ1cw==,71,65,55.6530673402115,0.00157798817620127,0.00144331760623903,belarus,Belarus,Fb2,place_of_birth,social,False,37,31,50.9323913579233,0.000910321072702669,0.000761634901177191,False,12400,968,4.7,0.004,0,True,34,72.01388754955533,False,0.918918918918919,2.3813927572352522,False,0.0006676671034986009,0.0016319477427818433,False,-12329,970.1798802284038,True,-0.24220118237987304,0.14433176062390302,False
QmVsZ2lhbg==,211,120,34.5726674253446,0.00116682887984428,0.00066329774719379,belgian,Belgian,Pop_5,ancestry,social,False,249,140.801278403287,34.3748924947907,0.0014807854704616,0.000836647389540362,False,4625,690,9.1,0.001,0,True,-38,184.99999999999983,False,-0.15261044176706828,0.6796020814270602,False,-0.00031395659061732,0.0010676810178405624,False,-4414,700.3570517957252,True,0.016682887984428005,0.066329774719379,False
QmVsZ2l1bQ==,42,44,63.6850484874801,0.000933457794372583,0.000977226155558701,belgium,Belgium,Fb2,place_of_birth,social,False,110,64,35.3688864327162,0.0027063599458728,0.00157003994203036,False,3153,526,10.1,0.001,0,True,-68,77.6659513557904,False,-0.6181818181818182,0.4575478900797302,False,-0.0017729021515002171,0.001849323221797297,False,-3111,527.8370960817361,True,0,0.0977226155558701
QmVsaXpl,0,0,,0,0,belize,Belize,Fb2,place_of_birth,social,False,48,43,54.4579533941236,0.00118095706728995,0.00105664677679642,False,6737,791,7.1,0.002,0,True,-48,43,False,-1,0,True,-0.00118095706728995,0.00105664677679642,False,-6737,791,True,-0.2,0,True
QmVsaXplYW4=,0,0,,0,0,belizean,Belizean,Pop_5,ancestry,social,False,21,30,86.8432479374729,0.000124885521605195,0.000178384931779302,False,7054,1069,9.2,0.001,0,True,-21,30,False,-1,0,True,-0.000124885521605195,0.000178384931779302,False,-7054,1069,True,-0.1,0,True
QmVybXVkYW4=,0,0,,0,0,bermudan,Bermudan,Pop_5,ancestry,social,False,0,0,,0,0,False,344,169,29.9,0,0,False,0,0,0,,,,-344,169,False,0,0
