id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RlBvcDg1cGw=,849,156,11.1,0.019,0.004,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,True,489,134,16.7,0.012,0.003,True,111704,1844,1,0.013,0,True,360,205.65018842685265,False,0.7361963190184049,0.5728241049954906,False,0.006999999999999999,0.005,False,-110855,1850.5869339212356,True,0.5999999999999999,0.4,False
SHNwMQ==,5998,830,8.4,0.137,0.019,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,4916,872,10.8,0.116,0.02,True,2457137,0,0,0.291,0,True,1082,1203.8621183507687,False,0.22009764035801466,0.2744881663007615,False,0.021000000000000005,0.02758622844826744,False,-2451139,830,True,-15.399999999999997,1.9,True
SHNwMg==,5998,830,8.4,1,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,True,4916,872,10.8,1,0,True,2457137,0,0,1,0,True,1082,1203.8621183507687,False,0.22009764035801466,0.2744881663007615,False,0,0,-2451139,830,True,0,0
SHNwQWxsT3Ro,20,19,57.7,0.003,0.003,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,51,52,61.9,0.01,0.01,False,73407,3230,2.7,0.03,0.001,True,-31,55.362442142665635,False,-0.6078431372549019,0.5465068764958129,False,-0.007,0.01044030650891055,False,-73387,3230.055881869538,True,-2.7,0.31622776601683794,True
SHNwQXJn,0,0,,0,0,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,156,183,71.2,0.032,0.037,False,18356,2145,7.1,0.007,0.001,True,-156,183,False,-1,0,True,-0.032,0.037,False,-18356,2145,True,-0.7000000000000001,0.1,True
SHNwQm9s,0,0,,0,0,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,39,62,96.6,0.008,0.013,False,3802,607,9.7,0.002,0,True,-39,62,False,-1,0,True,-0.008,0.013,False,-3802,607,True,-0.2,0,True
SHNwQ0Ft,742,296,24.2,0.124,0.046,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,False,590,397,40.9,0.12,0.078,False,179031,5054,1.7,0.073,0.002,True,152,495.20197899443014,False,0.2576271186440678,0.9837730944645001,False,0.0040000000000000036,0.09055385138137416,False,-178289,5062.6605653549395,True,5.1000000000000005,4.604345773288535,False
SHNwQ2hs,4,7,106.4,0.001,0.001,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,7524,974,7.9,0.003,0,True,4,7,False,0,,0.001,0.001,False,-7520,974.0251536793082,True,-0.19999999999999998,0.1,False
SHNwQ29s,227,147,39.5,0.038,0.024,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,False,44,54,74.7,0.009,0.011,False,102532,3800,2.3,0.042,0.002,True,183,156.60459763365824,False,4.159090909090909,7.158978881811045,False,0.028999999999999998,0.02640075756488817,False,-102305,3802.842226545824,True,-0.40000000000000036,2.4083189157584592,False
SHNwQ1I=,46,56,73.7,0.008,0.009,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,21,33,95.5,0.004,0.007,False,7377,1032,8.5,0.003,0,True,25,65,False,1.1904761904761905,4.354272926749731,False,0.004,0.011401754250991379,False,-7331,1033.5182630219942,True,0.5,0.8999999999999999,False
