id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RXJuMzB0MzU=,3017,317,6.4,0.075,0.007,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,4062,0,,0,0,False,257513,0,,0,0,False,-1045,317,True,-0.2572624322993599,0.07804037419990152,True,0.075,0.007,True,-254496,317,True,7.5,0.7000000000000001,True
RXJuMzV0NDA=,3064,323,6.4,0.076,0.008,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,3817,0,,0,0,False,217597,0,,0,0,False,-753,323,False,-0.1972753471312549,0.0846214304427561,False,0.076,0.008,True,-214533,323,True,7.6,0.8,True
RXJuNDB0NDU=,4177,390,5.7,0.104,0.009,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,3232,0,,0,0,False,235829,0,,0,0,False,945,390,False,0.29238861386138615,0.12066831683168315,False,0.104,0.009,True,-231652,390,True,10.4,0.8999999999999999,True
RXJuNDV0NTA=,2146,263,7.5,0.054,0.006,ern45t50,Ern45t50,MdEWrk,economic__special_variable,economic,True,2388,0,,0,0,False,155389,0,,0,0,False,-242,263,False,-0.10134003350083752,0.11013400335008373,False,0.054,0.006,True,-153243,263,True,5.4,0.6,True
RXJuNTB0NTU=,2436,278,6.9,0.061,0.007,ern50t55,Ern50t55,MdEWrk,economic__special_variable,economic,True,2625,0,,0,0,False,213254,0,,0,0,False,-189,278,False,-0.072,0.1059047619047619,False,0.061,0.007,True,-210818,278,True,6.1,0.7000000000000001,True
RXJuNTV0NjU=,3386,340,6.1,0.084,0.008,ern55t65,Ern55t65,MdEWrk,economic__special_variable,economic,True,3358,0,,0,0,False,294509,0,,0,0,False,28,340,False,0.008338296605122097,0.10125074449076833,False,0.084,0.008,True,-291123,340,True,8.4,0.8,True
RXJuNXQ3cHQ1,1207,194,9.8,0.03,0.005,ern5t7pt5,Ern5t7pt5,MdEWrk,economic__special_variable,economic,True,1161,0,,0,0,False,149059,0,,0,0,False,46,194,False,0.03962101636520241,0.16709732988802756,False,0.03,0.005,True,-147852,194,True,3,0.5,True
RXJuNjV0NzU=,2690,288,6.5,0.067,0.007,ern65t75,Ern65t75,MdEWrk,economic__special_variable,economic,True,3030,0,,0,0,False,221820,0,,0,0,False,-340,288,False,-0.11221122112211221,0.09504950495049505,False,0.067,0.007,True,-219130,288,True,6.7,0.7000000000000001,True
RXJuNzV0MTAw,4600,374,4.9,0.115,0.008,ern75t100,Ern75t100,MdEWrk,economic__special_variable,economic,True,3460,0,,0,0,False,391186,0,,0,0,False,1140,374,True,0.32947976878612717,0.10809248554913294,True,0.115,0.008,True,-386586,374,True,11.5,0.8,True
RXJuVTJwdDVr,1582,231,8.9,0.039,0.006,ernu2pt5k,ErnU2pt5k,MdEWrk,economic__special_variable,economic,True,1628,0,,0,0,False,175652,0,,0,0,False,-46,231,False,-0.028255528255528257,0.1418918918918919,False,0.039,0.006,True,-174070,231,True,3.9,0.6,True
RjE2cGw=,40623,1000,1.5,1,0,f16pl,F16pl,F16pl,employment_status,economic,True,37566,1099,1.8,1,0,True,3642664,1274,0,1,0,True,3057,1485.8670869226494,False,0.08137677687270405,0.04134540891978622,False,0,0,-3602041,1619.591306472099,True,0,0
RjE2cGxDTEZF,24501,789,2,0.603,0.013,f16plclfe,F16plCLFE,F16pl,employment_status,economic,True,22532,813,2.2,0.6,0.013,True,1986266,7118,0.2,0.545,0.002,True,1969,1132.9121766491876,False,0.08738682762293627,0.05258873128036815,False,0.0030000000000000027,0.018384776310850236,False,-1961765,7161.5951435416955,True,5.79999999999999,1.3152946437965907,True
RjE2cGxDdkxG,25889,817,1.9,0.637,0.013,f16plcvlf,F16plCvLF,F16pl,employment_status,economic,True,23901,847,2.2,0.636,0.013,True,2130364,7693,0.2,0.585,0.002,True,1988,1176.8168931486325,False,0.08317643613237939,0.05139938786672523,False,0.0010000000000000009,0.018384776310850236,False,-2104475,7736.261241711011,True,5.200000000000003,1.3152946437965907,True
RjE2cGxMRg==,25915,818,1.9,0.638,0.013,f16pllf,F16plLF,F16pl,employment_status,economic,True,23915,847,2.2,0.637,0.013,True,2130876,7736,0.2,0.585,0.002,True,2000,1177.5113587562541,False,0.08362952122099102,0.05140909492726134,False,0.0010000000000000009,0.018384776310850236,False,-2104961,7779.127200399798,True,5.300000000000004,1.3152946437965907,True
RmFtMg==,21583,510,1.4,1,0,fam2,Fam2,Fam2,income_and_benefits,economic,True,21025,577,1.7,1,0,True,1887978,7339,0.2,1,0,True,558,770.0837616779099,False,0.026539833531510106,0.03717590864299113,False,0,0,-1866395,7356.699055962531,True,0,0
