id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
SHNwQXJn,56,44,47.7,0.005,0.004,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,20,29,87.7,0.002,0.003,False,18356,2145,7.1,0.007,0.001,True,36,52.69724850502159,False,1.8,4.617748369064733,False,0.003,0.005,False,-18300,2145.451234589125,True,-0.20000000000000007,0.4123105625617661,False
SHNwQm9s,0,0,,0,0,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3802,607,9.7,0.002,0,True,0,0,0,,,,-3802,607,True,-0.2,0,True
SHNwQ0Ft,740,288,23.7,0.062,0.023,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,False,566,286,30.7,0.053,0.026,False,179031,5054,1.7,0.073,0.002,True,174,405.8817561802945,False,0.30742049469964666,0.833880818940484,False,0.009000000000000001,0.03471310991541956,False,-178291,5062.199126861763,True,-1.0999999999999996,2.308679276123039,False
SHNwQ2hs,6,11,111.4,0.001,0.001,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,34,54,96.5,0.003,0.005,False,7524,974,7.9,0.003,0,True,-28,55.10898293381942,False,-0.8235294117647058,0.4280494997138645,False,-0.002,0.005099019513592785,False,-7518,974.0621130092269,True,-0.19999999999999998,0.1,False
SHNwQ29s,293,161,33.3,0.025,0.013,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,False,356,212,36.1,0.033,0.019,False,102532,3800,2.3,0.042,0.002,True,-63,266.20480837129895,False,-0.17696629213483145,0.6668930269154372,False,-0.008,0.023021728866442676,False,-102239,3803.409128663389,True,-1.7000000000000002,1.3152946437965907,False
SHNwQ1I=,25,39,94.8,0.002,0.003,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,7377,1032,8.5,0.003,0,True,25,39,False,0,,0.002,0.003,False,-7352,1032.7366556872087,True,-0.09999999999999998,0.3,False
SHNwQ3Vi,26,38,88.7,0.002,0.003,hspcub,HspCub,Hsp2,hispanic_subgroup,demographic,False,242,184,46.2,0.023,0.017,False,39929,2284,3.5,0.016,0.001,True,-216,187.88294228055935,False,-0.8925619834710744,0.17700220887429602,True,-0.020999999999999998,0.01726267650163207,False,-39903,2284.316090211685,True,-1.4000000000000001,0.31622776601683794,True
SHNwRG9t,680,282,25.2,0.057,0.023,hspdom,HspDom,Hsp2,hispanic_subgroup,demographic,False,475,290,37.1,0.044,0.027,False,701188,8731,0.8,0.285,0.004,True,205,404.50463532572775,False,0.43157894736842106,1.0565822233674362,False,0.013000000000000005,0.0354682957019364,False,-700508,8735.552930410302,True,-22.799999999999997,2.33452350598575,True
SHNwRWM=,725,431,36.2,0.061,0.036,hspec,HspEc,Hsp2,hispanic_subgroup,demographic,False,487,316,39.4,0.045,0.029,False,196728,6097,1.9,0.08,0.002,True,238,534.4314736240747,False,0.4887063655030801,1.3100978488358532,False,0.016,0.04622769732530488,False,-196003,6112.214819523279,True,-1.9000000000000004,3.6055512754639887,False
SHNwR3VhdG0=,131,95,44.3,0.011,0.008,hspguatm,HspGuatm,Hsp2,hispanic_subgroup,demographic,False,86,111,78.7,0.008,0.01,False,37583,2564,4.1,0.015,0.001,True,45,146.102703602637,False,0.5232558139534884,2.255140101137508,False,0.002999999999999999,0.012806248474865698,False,-37452,2565.7593417933804,True,-0.40000000000000013,0.806225774829855,False
