id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RTE1dDE3cHQ1,2280,126,3.35946248600224,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,2398,0,,0,0,False,173274,0,,0,0,False,-118,126,False,-0.04920767306088407,0.052543786488740626,False,0,0,-170994,126,True,0,0
RTE3cHQ1dDIw,1810,78,2.61969134662211,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,1595,0,,0,0,False,126285,0,,0,0,False,215,78,False,0.13479623824451412,0.048902821316614414,False,0,0,-124475,78,True,0,0
RTIwdDIycHQ1,2466,124,3.05676963543092,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,3039,0,,0,0,False,196961,0,,0,0,False,-573,124,True,-0.1885488647581441,0.0408028956893715,True,0,0,-194495,124,True,0,0
RTIycHQ1dDI1,1888,123,3.96038328782649,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,True,1621,0,,0,0,False,107043,0,,0,0,False,267,123,False,0.16471314003701418,0.07587908698334361,False,0,0,-105155,123,True,0,0
RTdwdDV0MTA=,2252,163,4.40000647853715,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,2377,0,,0,0,False,118902,0,,0,0,False,-125,163,False,-0.05258729490954985,0.06857383256205302,False,0,0,-116650,163,True,0,0
RWRIbHRoQ1NB,26883,1066.29545624091,2.41120382682925,0.306170561705617,0.0102563813151411,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.306170561705617,0.0102563813151411,True,-1053703,7883.445122533676,True,3.9170561705617004,1.0449562559340724,True
RW1ISW5z,80031,1823.79220307578,1.38532352381824,0.969426442977409,0.00627005238048778,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.969426442977409,0.00627005238048778,True,-3315035,12137.80120120609,True,8.242644297740895,0.6581303583186274,True
RW1OSElucw==,2524,479.613385968323,11.5514377710953,0.030573557022591,0.00577108193222386,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.030573557022591,0.00577108193222386,True,-427953,6794.9476083337095,True,-8.2426442977409,0.610781357512168,True
RW1QYkhJbnM=,6030,715.31601408049,7.21131943202418,0.0730422142813882,0.0085164496202835,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.0730422142813882,0.0085164496202835,True,-703067,5882.652292971258,True,-11.19577857186118,0.8574958550035503,True
RW1QdkhJbnM=,74952,1801.99001107109,1.46151491245874,0.907903821694628,0.00910294380156213,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.907903821694628,0.00910294380156213,True,-2703998,11386.492743597564,True,18.190382169462808,0.9320063618581067,True
