id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RWRIbHRoQ1NB,54308,2036.84191826465,2.27996202036728,0.260323942919321,0.00871368120993061,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.260323942919321,0.00871368120993061,True,-1026278,8072.202053962724,True,-0.667605708067903,0.8940259516831588,False
RW1ISW5z,179308,3213.14503251876,1.08934328363855,0.941387710529632,0.00560844780869918,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.941387710529632,0.00560844780869918,True,-3215758,12422.733233874098,True,5.43877105296319,0.5954383832345932,True
RW1OSElucw==,11164,1265.1719250758,6.88912105168588,0.0586122894703683,0.00656802148860636,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.0586122894703683,0.00656802148860636,True,-419313,6895.066642172504,True,-5.438771052963171,0.6865777907476683,True
RW1QYkhJbnM=,18849,1378.49990932172,4.44582665313317,0.0989594271073964,0.0070413910568373,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.0989594271073964,0.0070413910568373,True,-690248,5999.515230416537,True,-8.60405728926036,0.7112045276522662,True
RW1QdkhJbnM=,163544,3191.30960578882,1.18622868425947,0.858624889747574,0.00837558150142823,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.858624889747574,0.00837558150142823,True,-2615406,11687.151321002051,True,13.262488974757403,0.861106064820512,True
RXJuMTAwcGw=,77556,1509,1.182790793702,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,61521,0,,0,0,False,640046,0,,0,0,False,16035,1509,True,0.2606427073682157,0.024528209879553325,True,0,0,-562490,1509,True,0,0
RXJuMjV0MzA=,7230,342,2.87555650846902,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,9419,0,,0,0,False,262316,0,,0,0,False,-2189,342,True,-0.23240259050854656,0.036309587004989916,True,0,0,-255086,342,True,0,0
RXJuMnB0NXQ1,5325,248,2.83117142571743,0,0,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,6610,0,,0,0,False,128242,0,,0,0,False,-1285,248,True,-0.19440242057488655,0.037518910741301065,True,0,0,-122917,248,True,0,0
RXJuMzB0MzU=,8172,371,2.7598129575822,0,0,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,9203,0,,0,0,False,257513,0,,0,0,False,-1031,371,False,-0.11202868629794632,0.040312941432141695,False,0,0,-249341,371,True,0,0
RXJuMzV0NDA=,6811,444,3.96283680207995,0,0,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,9263,0,,0,0,False,217597,0,,0,0,False,-2452,444,True,-0.2647090575407535,0.04793263521537299,True,0,0,-210786,444,True,0,0
RXJuNDB0NDU=,8758,435,3.01938444815717,0,0,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,10205,0,,0,0,False,235829,0,,0,0,False,-1447,435,True,-0.14179323860852525,0.04262616364527192,True,0,0,-227071,435,True,0,0
RXJuNDV0NTA=,5073,313,3.75071074770359,0,0,ern45t50,Ern45t50,MdEWrk,economic__special_variable,economic,True,8461,0,,0,0,False,155389,0,,0,0,False,-3388,313,True,-0.4004254816215577,0.036993263207658666,True,0,0,-150316,313,True,0,0
