id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QzE4NjREQ29n,0,0,,0,0,c1864dcog,C1864DCog,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,170837,3188,1.1,0.031,0.001,True,,,,,0,0,-170837,3188,True,-3.1,0.1,True
QzE4NjRESHJn,0,0,,0,0,c1864dhrg,C1864DHrg,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,58827,2048,2.1,0.011,0,True,,,,,0,0,-58827,2048,True,-1.0999999999999999,0,True
QzE4NjRESUxE,0,0,,0,0,c1864dild,C1864DILD,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,152865,2956,1.2,0.028,0.001,True,,,,,0,0,-152865,2956,True,-2.8000000000000003,0.1,True
QzE4NjREU0Ny,0,0,,0,0,c1864dscr,C1864DSCr,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,83328,2435,1.8,0.015,0,True,,,,,0,0,-83328,2435,True,-1.5,0,True
QzE4NjREVnNu,0,0,,0,0,c1864dvsn,C1864DVsn,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,96360,2606,1.6,0.018,0,True,,,,,0,0,-96360,2606,True,-1.7999999999999998,0,True
QzY1cGxEQW1i,0,0,,0,0,c65pldamb,C65plDAmb,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,307659,3733,0.7,0.266,0.003,True,,,,,0,0,-307659,3733,True,-26.6,0.3,True
QzY1cGxEQ29n,0,0,,0,0,c65pldcog,C65plDCog,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,120293,2983,1.5,0.104,0.003,True,,,,,0,0,-120293,2983,True,-10.4,0.3,True
QzY1cGxESHJn,0,0,,0,0,c65pldhrg,C65plDHrg,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,114133,2557,1.4,0.099,0.002,True,,,,,0,0,-114133,2557,True,-9.9,0.2,True
QzY1cGxESUxE,0,0,,0,0,c65pldild,C65plDILD,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,217939,3170,0.9,0.189,0.003,True,,,,,0,0,-217939,3170,True,-18.9,0.3,True
QzY1cGxEU0Ny,0,0,,0,0,c65pldscr,C65plDSCr,CvNI65pl,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,134140,2575,1.2,0.116,0.002,True,,,,,0,0,-134140,2575,True,-11.600000000000001,0.2,True
