id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
SHNwUGVydQ==,173,119,41.8,0.014,0.01,hspperu,HspPeru,Hsp2,hispanic_subgroup,demographic,False,501,256,31.1,0.043,0.022,False,40211,2081,3.1,0.016,0.001,True,-328,282.3065709472594,False,-0.654690618762475,0.2958903862659113,False,-0.028999999999999998,0.024166091947189144,False,-40038,2084.399673767006,True,-0.19999999999999996,1.004987562112089,False
SHNwUFI=,2966,860,17.6,0.241,0.065,hsppr,HspPR,Hsp2,hispanic_subgroup,demographic,True,2871,593,12.6,0.247,0.046,True,696879,8571,0.7,0.284,0.003,True,95,1044.628642149927,False,0.03308951584813654,0.36777812816225786,False,-0.006000000000000005,0.07963039620647382,False,-693913,8614.037438971345,True,-4.300000000000001,6.5069193939989765,False
SHNwUHJn,0,0,,0,0,hspprg,HspPrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3666,808,13.4,0.001,0,True,0,0,0,,,,-3666,808,True,-0.1,0,True
SHNwU2Fsdg==,0,0,,0,0,hspsalv,HspSalv,Hsp2,hispanic_subgroup,demographic,False,91,68,45.6,0.008,0.006,False,46973,2844,3.7,0.019,0.001,True,-91,68,False,-1,0,True,-0.008,0.006,False,-46973,2844,True,-1.9,0.1,True
SHNwU0Ft,1485,629,25.7,0.121,0.049,hspsam,HspSAm,Hsp2,hispanic_subgroup,demographic,False,1572,428,16.6,0.135,0.035,True,392206,7423,1.2,0.16,0.003,True,-87,760.8054941967756,False,-0.05534351145038168,0.475659397943865,False,-0.014000000000000012,0.060216276869298396,False,-390721,7449.602002791827,True,-3.9000000000000004,4.909175083453431,False
SHNwU3BBbQ==,61,120,119.6,0.005,0.01,hspspam,HspSpAm,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,601,224,22.7,0,0,False,61,120,False,0,,0.005,0.01,False,-540,254.11808278829744,False,0.5,1,False
SHNwU3BucmQ=,308,183,36,0.025,0.015,hspspnrd,HspSpnrd,Hsp2,hispanic_subgroup,demographic,False,117,114,59,0.01,0.01,False,24966,1807,4.4,0.01,0.001,True,191,215.60380330597138,False,1.6324786324786325,3.004252823370887,False,0.015000000000000001,0.018027756377319945,False,-24658,1816.242825175092,True,1.5,1.5033296378372907,False
SHNwU3Buc2g=,16,18,68.5,0.001,0.001,hspspnsh,HspSpnsh,Hsp2,hispanic_subgroup,demographic,False,84,73,52.9,0.007,0.006,False,9505,1192,7.6,0.004,0,True,-68,75.18643494673756,False,-0.8095238095238095,0.27077574050859116,False,-0.006,0.00608276253029822,False,-9489,1192.135898293479,True,-0.30000000000000004,0.1,False
SHNwVXJn,0,0,,0,0,hspurg,HspUrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3021,707,14.2,0.001,0,True,0,0,0,,,,-3021,707,True,-0.1,0,True
SHNwVm56,142,177,75.6,0.012,0.014,hspvnz,HspVnz,Hsp2,hispanic_subgroup,demographic,False,76,65,52.1,0.007,0.006,False,13555,1267,5.7,0.006,0.001,True,66,188.55768348173987,False,0.868421052631579,2.8244598218752586,False,0.005,0.015231546211727818,False,-13413,1279.3037168710173,True,0.6,1.4035668847618201,False
TWFsZQ==,23633,1142,2.9,0.445,0.014,male,Male,Pop_1,sex_and_age,demographic,True,22394,1138,3.1,0.439,0.014,True,4025097,268,0,0.477,0,True,1239,1612.2059421798444,False,0.05532731981780834,0.074004161712829,False,0.006000000000000005,0.019798989873223333,False,-4001464,1173.0251489205166,True,-3.1999999999999957,1.4000000000000001,False
TWRBZ2U=,29.6,0.5,1,,,mdage,MdAge,median,sex_and_age,demographic,True,31.1,0.8,1.6,,,True,36.5,0.1,0.2,,,True,-1.5,0.9433981132056605,False,,,,,-6.899999999999999,0.5099019513592785,True,,
TWRQb3AwdDQ=,1509,391,15.7,0,0,mdpop0t4,MdPop0t4,MdAge,demographic__special_variable,demographic,True,1755,0,,0,0,False,551869,0,,0,0,False,-246,391,False,-0.14017094017094017,0.22279202279202281,False,0,0,-550360,391,True,0,0
TWRQb3AxMHQxNA==,1795,352,11.9,0,0,mdpop10t14,MdPop10t14,MdAge,demographic__special_variable,demographic,True,1314,0,,0,0,False,464704,0,,0,0,False,481,352,False,0.3660578386605784,0.26788432267884327,False,0,0,-462909,352,True,0,0
TWRQb3AxNXQxNw==,906,239,16.1,0,0,mdpop15t17,MdPop15t17,MdAge,demographic__special_variable,demographic,True,1363,0,,0,0,False,273431,0,,0,0,False,-457,239,False,-0.33528980190755686,0.17534849596478352,False,0,0,-272525,239,True,0,0
TWRQb3AxOHQxOQ==,4302,417,5.9,0,0,mdpop18t19,MdPop18t19,MdAge,demographic__special_variable,demographic,True,4041,0,,0,0,False,182243,0,,0,0,False,261,417,False,0.0645879732739421,0.10319227913882702,False,0,0,-177941,417,True,0,0
TWRQb3AyMA==,1797,279,9.4,0,0,mdpop20,MdPop20,MdAge,demographic__special_variable,demographic,True,2357,0,,0,0,False,105547,0,,0,0,False,-560,279,False,-0.23759015697921085,0.11837081035214257,False,0,0,-103750,279,True,0,0
