id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RlBvcDcwdDc0,487,169,21.1,0.017,0.006,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,False,233,90,23.4,0.009,0.003,False,161099,2686,1,0.019,0,True,254,191.47062437878037,False,1.090128755364807,1.085310645624728,False,0.008000000000000002,0.00670820393249937,False,-160612,2691.31139038202,True,-0.19999999999999973,0.6,False
RlBvcDc1dDc5,195,90,28,0.007,0.003,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,False,320,115,21.9,0.012,0.004,False,124380,1845,0.9,0.015,0,True,-125,146.03081866510234,False,-0.390625,0.356454760282539,False,-0.005,0.005,False,-124185,1847.1938176596414,True,-0.7999999999999999,0.3,False
RlBvcDgwdDg0,116,75,39.4,0.004,0.003,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,False,166,82,30.2,0.006,0.003,False,91235,1728,1.2,0.011,0,True,-50,111.12605455067681,False,-0.30120481927710846,0.5685811412772752,False,-0.002,0.004242640687119285,False,-91119,1729.6268383671663,True,-0.6999999999999998,0.3,False
RlBvcDg1cGw=,232,107,28,0.008,0.004,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,False,134,60,27.4,0.005,0.002,False,111704,1844,1,0.013,0,True,98,122.67436570041843,False,0.7313432835820896,1.1129209948592351,False,0.003,0.004472135954999579,False,-111472,1847.101783876568,True,-0.5,0.4,False
SHNwMQ==,17748,1481,5.1,0.61,0.042,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,16672,1437,5.2,0.625,0.042,True,2457137,0,0,0.291,0,True,1076,2063.572145576694,False,0.06453934740882918,0.12771088080702137,False,-0.015000000000000013,0.05939696961967,False,-2439389,1481,True,31.900000000000002,4.2,True
SHNwMg==,17748,1481,5.1,1,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,True,16672,1437,5.2,1,0,True,2457137,0,0,1,0,True,1076,2063.572145576694,False,0.06453934740882918,0.12771088080702137,False,0,0,-2439389,1481,True,0,0
SHNwQWxsT3Ro,225,102,27.6,0.013,0.006,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,286,162,34.4,0.017,0.01,False,73407,3230,2.7,0.03,0.001,True,-61,191.43667360252581,False,-0.21328671328671328,0.5707647436528386,False,-0.004000000000000002,0.0116619037896906,False,-73182,3231.610124999611,True,-1.7,0.6082762530298219,False
SHNwQXJn,61,73,72.7,0.003,0.004,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,130,111,51.8,0.008,0.007,False,18356,2145,7.1,0.007,0.001,True,-69,132.85330255586422,False,-0.5307692307692308,0.6898163360640192,False,-0.005,0.00806225774829855,False,-18295,2146.2418316676244,True,-0.4000000000000001,0.4123105625617661,False
SHNwQm9s,0,0,,0,0,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3802,607,9.7,0.002,0,True,0,0,0,,,,-3802,607,True,-0.2,0,True
SHNwQ0Ft,854,410,29.2,0.048,0.023,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,False,925,467,30.7,0.055,0.028,False,179031,5054,1.7,0.073,0.002,True,-71,621.4410671978478,False,-0.07675675675675675,0.6432153384272288,False,-0.006999999999999999,0.03623534186398688,False,-178177,5070.603119945397,True,-2.5,2.308679276123039,False
