id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QXZnRm1Teg==,2.9657434069198776,0.10892158027563088,2.2326181845951787,,,avgfmsz,AvgFmSz,mean,household_type,social,True,3.082360456959615,0.09296389290174066,1.8334327082314434,,,True,3.39,0.01,0.2,,,True,-0.11661705003973744,0.14319984648450923,False,,,,,-0.42425659308012253,0.10937966287084955,True,,
QXZnSEhTeg==,2.0412647880812793,0.03740947109112914,1.1140798560294884,,,avghhsz,AvgHHSz,mean,household_type,social,True,2.0530271598634027,0.029928766888632073,0.8861928190378464,,,True,2.62,0.01,0.2,,,True,-0.01176237178212336,0.04790824161657477,False,,,,,-0.5787352119187208,0.03872297157138159,True,,
QmFoYW1hcw==,66,61.400325732035,56.5536757226075,0.000692753379796792,0.000643918532786256,bahamas,Bahamas,Fb2,place_of_birth,social,False,84,88,63.6850484874801,0.000927377508887368,0.000971078196387578,False,898,202,13.7,0,0,True,-18,107.30330842988953,False,-0.21428571428571427,1.100835508674896,False,-0.0002346241290905759,0.0011651712064606455,False,-832,211.12555506143732,True,0.0692753379796792,0.06439185327862561,False
QmFoYW1pYW4=,105,82.0243866176395,47.4884276263653,0.000261686808243384,0.000204392960511443,bahamian,Bahamian,Pop_5,ancestry,social,False,137,133.753504626982,59.3497236159038,0.00034453014387277,0.000336336830558406,False,1534,383,15.2,0,0,True,-32,156.90124282490592,False,-0.23357664233576642,0.9583102462463132,False,-8.284333562938597e-05,0.00039357203393623665,False,-1429,391.6848222742362,True,0.026168680824338403,0.0204392960511443,False
QmFyYmFkb3M=,210,167.684227045957,48.5408096818517,0.00220421529935343,0.00175799838420645,barbados,Barbados,Fb2,place_of_birth,social,False,182,88.2553114548921,29.4783765172157,0.00200931793592263,0.000972201277542904,False,21922,1345,3.7,0.007,0,True,28,189.49142460808105,False,0.15384615384615385,1.077931385085161,False,0.00019489736343080008,0.002008913547898103,False,-21712,1355.4124833422482,True,-0.4795784700646571,0.175799838420645,False
QmFzcXVl,27,43,96.8141393673309,6.72908935482987e-05,0.000107162847665086,basque,Basque,Pop_5,ancestry,social,False,53,43.7607129740821,50.1929379756634,0.000133285384125962,0.000110037002989922,False,721,213,18,0,0,True,-26,61.351446600711846,False,-0.49056603773584906,0.9138751793214924,False,-6.59944905776633e-05,0.0001535969333896173,False,-694,217.29703173306348,True,0.006729089354829869,0.010716284766508601,False
QmVsYXJ1cw==,64,55.0817574156816,52.3192984571444,0.000671760853136283,0.00057757037297733,belarus,Belarus,Fb2,place_of_birth,social,False,231,129.799845916704,34.1583036399699,0.00255028814944026,0.00143065674141226,False,12400,968,4.7,0.004,0,True,-167,141.00354605470068,False,-0.7229437229437229,0.2847700362933759,False,-0.001878527296303977,0.0015428435589811167,False,-12336,969.5658822380251,True,-0.33282391468637174,0.057757037297733,True
QmVsZ2lhbg==,440,212.153246498846,29.3110315693349,0.00109659233930561,0.000528517659281562,belgian,Belgian,Pop_5,ancestry,social,False,723,287.461301743382,24.1699186304433,0.0018182138249636,0.000722537570389428,False,4625,690,9.1,0.001,0,True,-283,357.2716053648818,False,-0.3914246196403873,0.38033108970251284,False,-0.0007216214856579899,0.0008952047010582098,False,-4185,721.8787986913039,True,0.009659233930561006,0.0528517659281562,False
QmVsZ2l1bQ==,318,148.030402282774,28.2981404069458,0.00333781173902091,0.00154841062489349,belgium,Belgium,Fb2,place_of_birth,social,False,238,94.1541289588513,24.0489716632656,0.00262756960851421,0.00103602377002495,False,3153,526,10.1,0.001,0,True,80,175.4365982342336,False,0.33613445378151263,0.8162437979285111,False,0.0007102421305066999,0.001863040717574299,False,-2835,546.432978506971,True,0.233781173902091,0.154841062489349,False
QmVsaXpl,276,180.571315551502,39.7716654666098,0.00289696867915022,0.00189201967971517,belize,Belize,Fb2,place_of_birth,social,False,128,91.4822387133153,43.4471118509286,0.00141314668020932,0.00100895491696318,False,6737,791,7.1,0.002,0,True,148,202.4228247999719,False,1.15625,2.089269726788716,False,0.0014838219989409002,0.002144231445738466,False,-6461,811.3488768711029,True,0.08969686791502202,0.189201967971517,False
