id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RW1QYkhJbnM=,3993,439.640762441337,6.69318362516375,0.105242349964418,0.0109989920700874,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.105242349964418,0.0109989920700874,True,-705104,5855.527730273336,True,-7.9757650035582,1.1044357227011699,True
RW1QdkhJbnM=,31835,1245.54205067513,2.37841501449128,0.839065918136053,0.0152581883038172,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.839065918136053,0.0152581883038172,True,-2747115,11311.782529734208,True,11.306591813605309,1.5388707233382017,True
RXJuMTAwcGw=,15952,933,3.55549932472189,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,9449,0,,0,0,False,640046,0,,0,0,False,6503,933,True,0.6882209757646311,0.09874060747169011,True,0,0,-624094,933,True,0,0
RXJuMjV0MzA=,1286,156,7.37424780308868,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,1352,0,,0,0,False,262316,0,,0,0,False,-66,156,False,-0.04881656804733728,0.11538461538461539,False,0,0,-261030,156,True,0,0
RXJuMnB0NXQ1,958,196,12.4372584728823,0,0,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,1148,0,,0,0,False,128242,0,,0,0,False,-190,196,False,-0.16550522648083624,0.17073170731707318,False,0,0,-127284,196,True,0,0
RXJuMzB0MzU=,1337,226,10.2756932114497,0,0,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,1280,0,,0,0,False,257513,0,,0,0,False,57,226,False,0.04453125,0.17656249999999996,False,0,0,-256176,226,True,0,0
RXJuMzV0NDA=,1320,224,10.3159252095422,0,0,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,1087,0,,0,0,False,217597,0,,0,0,False,233,224,False,0.21435142594296228,0.2060717571297148,False,0,0,-216277,224,True,0,0
RXJuNDB0NDU=,1423,220,9.39835571494787,0,0,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,1396,0,,0,0,False,235829,0,,0,0,False,27,220,False,0.019340974212034383,0.15759312320916902,False,0,0,-234406,220,True,0,0
RXJuNDV0NTA=,761,174,13.899484361083,0,0,ern45t50,Ern45t50,MdEWrk,economic__special_variable,economic,True,756,0,,0,0,False,155389,0,,0,0,False,5,174,False,0.006613756613756613,0.23015873015873015,False,0,0,-154628,174,True,0,0
RXJuNTB0NTU=,1716,310,10.9819258755429,0,0,ern50t55,Ern50t55,MdEWrk,economic__special_variable,economic,True,1217,0,,0,0,False,213254,0,,0,0,False,499,310,False,0.41002465078060807,0.25472473294987674,False,0,0,-211538,310,True,0,0
RXJuNTV0NjU=,2503,401,9.73907299083046,0,0,ern55t65,Ern55t65,MdEWrk,economic__special_variable,economic,True,1742,0,,0,0,False,294509,0,,0,0,False,761,401,False,0.4368541905855339,0.23019517795637198,False,0,0,-292006,401,True,0,0
RXJuNXQ3cHQ1,962,178,11.2480963544793,0,0,ern5t7pt5,Ern5t7pt5,MdEWrk,economic__special_variable,economic,True,1620,0,,0,0,False,149059,0,,0,0,False,-658,178,True,-0.40617283950617283,0.10987654320987653,True,0,0,-148097,178,True,0,0
RXJuNjV0NzU=,2068,427,12.5519568706531,0,0,ern65t75,Ern65t75,MdEWrk,economic__special_variable,economic,True,1462,0,,0,0,False,221820,0,,0,0,False,606,427,False,0.41450068399452805,0.2920656634746922,False,0,0,-219752,427,True,0,0
RXJuNzV0MTAw,4277,520,7.3909147180828,0,0,ern75t100,Ern75t100,MdEWrk,economic__special_variable,economic,True,3085,0,,0,0,False,391186,0,,0,0,False,1192,520,False,0.38638573743922205,0.16855753646677474,False,0,0,-386909,520,True,0,0
