id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RlBvcDQ1dDQ5,0,0,,0,0,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,281658,193,0,0.033,0,True,0,0,0,,,,-281658,193,True,-3.3000000000000003,0,True
RlBvcDUwdDU0,0,0,,0,0,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,285202,202,0,0.034,0,True,0,0,0,,,,-285202,202,True,-3.4000000000000004,0,True
RlBvcDU1dDU5,0,0,,0,0,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,272993,2843,0.6,0.032,0,True,0,0,0,,,,-272993,2843,True,-3.2,0,True
RlBvcDV0OQ==,0,0,,0,0,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,234049,2327,0.6,0.028,0,True,0,0,0,,,,-234049,2327,True,-2.8000000000000003,0,True
RlBvcDYwdDY0,0,0,,0,0,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,256568,2933,0.7,0.03,0,True,0,0,0,,,,-256568,2933,True,-3,0,True
RlBvcDY1dDY5,0,0,,0,0,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,214644,2853,0.8,0.025,0,True,0,0,0,,,,-214644,2853,True,-2.5,0,True
RlBvcDcwdDc0,0,0,,0,0,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,161099,2686,1,0.019,0,True,0,0,0,,,,-161099,2686,True,-1.9,0,True
RlBvcDc1dDc5,0,0,,0,0,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,124380,1845,0.9,0.015,0,True,0,0,0,,,,-124380,1845,True,-1.5,0,True
RlBvcDgwdDg0,0,0,,0,0,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,91235,1728,1.2,0.011,0,True,0,0,0,,,,-91235,1728,True,-1.0999999999999999,0,True
RlBvcDg1cGw=,0,0,,0,0,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,111704,1844,1,0.013,0,True,0,0,0,,,,-111704,1844,True,-1.3,0,True
SHNwMQ==,0,0,,0,0,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,0,0,,0,0,False,2457137,0,0,0.291,0,True,0,0,0,,,,-2457137,0,True,-29.099999999999998,0,True
